name,price,category,description,image
Premium Basmati Rice (50kg),85000,foodstuffs,"High-quality long grain basmati rice, perfect for special occasions",https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400&h=400&fit=crop
Brown Beans (10kg),12000,foodstuffs,"Fresh brown beans, rich in protein and perfect for Nigerian dishes",https://images.unsplash.com/photo-1589542840482-c7c456d2e93c?w=400&h=400&fit=crop
White Garri (5kg),4500,foodstuffs,"Premium quality white garri, finely processed and hygienically packaged",https://images.unsplash.com/photo-1625937286074-9ca519d5d9df?w=400&h=400&fit=crop
Yellow Garri (5kg),5000,foodstuffs,Traditional yellow garri with authentic taste and aroma,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400&h=400&fit=crop
Vegetable Oil (25 Liters),45000,foodstuffs,"Pure vegetable cooking oil, ideal for all your cooking needs",https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400&h=400&fit=crop
Groundnut Oil (5 Liters),18000,foodstuffs,Natural groundnut oil with rich flavor and nutrients,https://images.unsplash.com/photo-1608074978583-33080d2c3ebb?w=400&h=400&fit=crop
Sugar (50kg),65000,foodstuffs,Refined white sugar for all your sweetening needs,https://images.unsplash.com/photo-1584043204475-8cc101d6c77a?w=400&h=400&fit=crop
Salt (1kg pack of 10),3500,foodstuffs,"Iodized table salt, essential for healthy cooking",https://images.unsplash.com/photo-1607755385930-c68d0f5b85b1?w=400&h=400&fit=crop
Luxury Gift Basket,35000,gifts,Beautifully curated gift basket with premium items,https://images.unsplash.com/photo-1549465220-1a8b9238cd48?w=400&h=400&fit=crop
Corporate Gift Hamper,50000,gifts,Professional gift hamper perfect for business occasions,https://images.unsplash.com/photo-1513885535751-8b9238bd345a?w=400&h=400&fit=crop
Birthday Gift Box,15000,gifts,Colorful gift box filled with treats and surprises,https://images.unsplash.com/photo-1513885535751-8b9238bd345a?w=400&h=400&fit=crop
Cleaning Detergent (5kg),8500,household,Powerful cleaning detergent for all household needs,https://images.unsplash.com/photo-1563453392212-326f5e854473?w=400&h=400&fit=crop
Toilet Paper (Pack of 20),12000,household,"Soft and absorbent toilet tissue, bulk pack",https://images.unsplash.com/photo-1584556326561-c8746083993b?w=400&h=400&fit=crop
Hand Soap (Pack of 12),6000,household,Antibacterial hand soap bars for daily hygiene,https://images.unsplash.com/photo-1608571423902-eed4a5ad8108?w=400&h=400&fit=crop
Kitchen Towels (Pack of 10),5500,household,Absorbent kitchen paper towels for cleaning,https://images.unsplash.com/photo-1585421514738-01798e348b17?w=400&h=400&fit=crop
Premium Rice 50kg,45000,foodstuffs,High quality long grain rice,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400&h=400&fit=crop
Vegetable Oil 5L,8500,foodstuffs,Pure vegetable cooking oil,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400&h=400&fit=crop
Gift Basket Deluxe,15000,gifts,Luxury gift basket with assorted items,https://images.unsplash.com/photo-1549465220-1a8b9238cd48?w=400&h=400&fit=crop
Cleaning Kit Pro,12000,household,Complete household cleaning kit,https://images.unsplash.com/photo-1563453392212-326f5e854473?w=400&h=400&fit=crop
Pasta 1kg Pack,2500,foodstuffs,Premium quality pasta,https://images.unsplash.com/photo-1551462147-37cc0f2da6a3?w=400&h=400&fit=crop
Ceramic Vase Set,18000,gifts,Beautiful decorative vase set,https://images.unsplash.com/photo-1578500494198-246f612d3b3d?w=400&h=400&fit=crop
hairy,20000,foodstuffs,"hsxnsxis
",https://i.pinimg.com/236x/cd/07/70/cd0770590bda27990acfb16eb161ad8f.jpg
